model,task,epoch,train_loss,train_acc,train_precision,train_recall,train_f1,train_dice,train_iou,test_loss,test_acc,test_precision,test_recall,test_f1,test_dice,test_iou
unet,seg,0,0,,,,,,,0,0,0,0,0,0,0.77352229096158
attunet,seg,0,0,,,,,,,0,0,0,0,0,0,0.7578607333791711
bifpn,seg,0,0,,,,,,,0,0,0,0,0,0,0.7646615924713593
unet,cls,0,0,,,,,,,0,0.909,0.9135427010923536,0.9141867193071455,0.9113514297582326,0,0
attunet,cls,0,0,,,,,,,0,0.903,0.8990680770565331,0.9142487519942359,0.9035228112288187,0,0
bifpn,cls,0,0,,,,,,,0,0.919,0.9117078079737173,0.9297439658278009,0.917864037103137,0,0
unet,joint,0,0,,,,,,,0,0.9686046511627907,0.9693792447882297,0.9680915375774107,0.9685621011130429,0,0.7187015206934562
attunet,joint,0,0,,,,,,,0,0.9662790697674418,0.9678131836351782,0.9657116634930437,0.9664667311573206,0,0.6882532952712401
bifpn,joint,0,0,,,,,,,0,0.9755813953488373,0.976670614045076,0.9748504966290978,0.9756416866442345,0,0.7210931218844969
